Latency         timeStamp          type
0.0      1763219983.635614     Task 1
30.038      1763220013.673633     Task 2
60.061      1763220043.696184     Task 3
90.084      1763220073.719977     Task 4
120.108      1763220103.743318     Task 5
150.129      1763220133.764904     Task 6
180.153      1763220163.788088     Task 7
210.174      1763220193.809348     Task 8
240.198      1763220223.833519     Task 9
300.218      1763220283.853628     Task 10
